% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 13 2024, 08:58
% Dimension:          2
% Nodes:              21665
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (1)                    v (1)                    H (1)                    nu (Pa*s)
35                        8511.228761927245        1.7950929485483026E-5    -3.0139262819469456E-8   476.98687183542506       2.533026171183007E13
0                         8510.638297872338        1.7902550290587646E-5    0                        478.2480760525125        2.5323637413555266E13
8533.349940090808         35                       3.4994591886235135E-6    -1.3057078459843772E-8   321.0211755368619        1.7555727086229738E13
8533.333333333032         0                        3.3800627001629686E-6    0                        321.03028889497926       1.7555555555555523E13
35                        9042.988607152798        1.8824226805718363E-5    -2.9879292625464394E-8   478.4595028173391        2.632433836528517E13
0                         9042.553191489358        1.8777594816009E-5       0                        479.6287913082843        2.631775395952775E13
9066.671658163456         35                       3.7112761833748697E-6    -1.299004506570925E-8    319.95252215329486       1.7611281969194863E13
9066.66666666637          0                        3.5913166189231636E-6    0                        319.9622410661533        1.761111111111108E13
35                        9574.786935622376        1.9668904863581987E-5    -2.9548958592077786E-8   479.87767525444673       2.734980843003961E13
0                         9574.468085106379        1.9623949356990307E-5    0                        480.96423721140786       2.7343203786041445E13
9600.0011733333           35.00000000000001        3.923056657172668E-6     -1.2920933026725961E-8   318.8632892059281        1.7666837664365473E13
9599.999999999705         0                        3.8025705376833574E-6    0                        318.87364669635934       1.7666666666666633E13
35                        10106.614876931373       2.0484955979306393E-5    -2.9150501519032065E-8   481.24256833349114       2.840208246444967E13
0                         10106.382978723399       2.044161391353157E-5     0                        482.2544137618832        2.839540698523942E13
10133.333525347416        35                       4.134798275208981E-6     -1.285001228174478E-8    317.7539803018202        1.7722393655043547E13
10133.333333333043        0                        4.0138244564435516E-6    0                        317.7650181873824        1.7722222222222188E13
35                        10638.465404064173       2.1272375176037924E-5    -2.8686301155123625E-8   482.55515448445686       2.947645204600975E13
0                         10638.29787234042        2.1230588485632785E-5    0                        483.49932095971025       2.946966416220785E13
10666.666683100539        34.99999999999999        4.3465002229146465E-6    -1.2777526615499904E-8   316.6253114644531        1.7777949729653586E13
10666.66666666638         0                        4.225078375203747E-6     0                        316.63708135744173       1.7777777777777746E13
35                        11170.333007286252       2.2031159456423126E-5    -2.8158800477193435E-8   483.81624604226033       3.0568111060696016E13
0                         11170.21276595744        2.1990873073293963E-5    0                        484.69895880488906       3.0561177423614484E13
11199.999999999716        0                        4.436332293963941E-6     0                        315.49071427795866       1.7833333333333305E13
11199.999999999716        35                       4.558162535239977E-6     -1.27036961692036E-8     315.4781515800371        1.7833505820841496E13
34.99999999999999         11702.213410515427       2.2761307233461712E-5    -2.7570460876340558E-8   485.0265289602907        3.167217727429361E13
